"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.22598,-2.7373e-12,6.0394e-09,3.2606e-07,133.12,-2764.3,3.6845e-09,42.698,37.724,7.5881e-05,6.2558,0.011468,-0.019128,0.0076596,-2.268e-11,0.18062,-6.4848e-13,2703.4,2.271e-11,0.019128,-0.18062,0,0,0.00039962,0.0074982
-1.7554e-13,-9.4581e-05,0.0015966,-0.23793,4.356e-10,4.7156e-09,3.0966e-07,53.598,-2427.1,5.4518e-09,67.162,39.796,7.3746e-05,6.2755,0.0038514,-0.003898,4.6625e-05,-2.1973e-11,0.15911,-6.9137e-13,2368.1,3.0826e-12,0.00045017,-0.017499,2.8451e-06,0,0.00039932,0.007501
-1.8918e-13,-9.3346e-05,0.0016601,-0.23386,4.5266e-10,4.6037e-09,3.0891e-07,54.067,-2404.5,5.5097e-09,65.354,35.669,7.3332e-05,6.2784,0.0037354,-0.0042373,0.00050191,-2.1886e-11,0.15766,-6.9e-13,2349.6,0,0,0,3.3017e-06,0,0.00039927,0.0075015
-3.2374e-13,-9.2145e-05,0.002632,-0.23125,9.5826e-10,3.1082e-09,2.9479e-07,-2.9407,-2036.5,7.2366e-09,85.921,18.634,7.1124e-05,6.3042,0.00060207,-0.00024037,-0.0003617,-2.0592e-11,0.13148,-7.0898e-13,1964.5,0,0,0,6.8963e-06,0,0.00039888,0.0075051
-3.651e-13,-8.9208e-05,0.0027484,-0.22387,1.0287e-09,2.7342e-09,2.9434e-07,11.005,-1978.5,7.1494e-09,71.814,-0.74815,6.9761e-05,6.3166,0.00035609,-0.0022656,0.0019095,-2.0298e-11,0.12764,-6.8271e-13,1921.5,0,0,0,8.8818e-06,0,0.00039867,0.007507
-4.4784e-13,-8.4358e-05,0.0031712,-0.21204,1.1933e-09,1.9599e-09,2.9062e-07,25.469,-1815.3,7.0165e-09,61.103,-30.532,6.8422e-05,6.3366,-0.00026968,-0.0045411,0.0048108,-1.9762e-11,0.11671,-6.1655e-13,1768.8,0,0,0,1.1822e-05,0,0.00039836,0.00751
-5.4368e-13,-9.1717e-05,0.0032948,-0.23058,1.346e-09,1.1302e-09,2.8879e-07,57.625,-1710.2,5.4746e-09,14.797,-63.055,6.594e-05,6.3661,-0.00025078,-0.0082578,0.0085086,-1.9079e-11,0.11052,-4.5053e-13,1710.2,0,0,0,1.7083e-05,0,0.00039781,0.0075152
-5.5404e-13,-9.3312e-05,0.0033278,-0.23467,1.3614e-09,1.0446e-09,2.8833e-07,61.154,-1694.8,5.3731e-09,11.506,-66.898,6.5843e-05,6.3688,-0.00026231,-0.0086915,0.0089539,-1.9025e-11,0.10964,-4.3769e-13,1697.8,0,0,0,1.7521e-05,0,0.00039776,0.0075156
-5.6624e-13,-9.5013e-05,0.0033286,-0.23899,1.3839e-09,9.4149e-10,2.8757e-07,63.621,-1682.5,5.0718e-09,4.4929,-69.336,6.5686e-05,6.3726,-0.00025851,-0.0089626,0.0092211,-1.8937e-11,0.10911,-4.1051e-13,1692.5,0,0,0,1.826e-05,0,0.00039768,0.0075164
-8.2046e-13,-0.00013494,0.0048471,-0.34026,2.0276e-09,1.0146e-09,2.9616e-07,58.159,-1740.9,4.3911e-09,5.5669,-61.421,6.3578e-05,6.3568,-0.00011605,-0.0076168,0.0077329,-1.8955e-11,0.11013,-3.4672e-13,1748.1,0,0,0,2.2461e-05,0,0.00039684,0.0075205
-9.1275e-13,-0.00012332,0.0054048,-0.31097,2.2648e-09,1.0116e-09,2.9683e-07,54.105,-1741.5,3.7483e-09,5.874,-56.342,6.341e-05,6.3514,-7.4466e-05,-0.0070443,0.0071188,-1.8963e-11,0.10991,-3.0529e-13,1747,0,0,0,2.4036e-05,0,0.00039654,0.007522
-1.144e-12,-0.00014856,0.0067947,-0.37599,2.8578e-09,1.0467e-09,2.9904e-07,45.004,-1759.8,2.8002e-09,7.5058,-45.779,6.302e-05,6.3374,-1.6076e-06,-0.0057136,0.0057153,-1.9025e-11,0.1104,-2.42e-13,1760.8,0,0,0,2.7779e-05,0,0.00039579,0.0075257
-1.4102e-12,-9.6302e-05,0.0083832,-0.24384,3.5486e-09,1.0129e-09,2.9928e-07,33.426,-1747.6,6.955e-10,8.08,-30.852,6.29e-05,6.3218,0.00012839,-0.0041073,0.003979,-1.9048e-11,0.10942,-1.0746e-13,1743.9,0,0,0,3.2372e-05,0,0.00039491,0.0075302
-1.491e-12,-9.9959e-05,0.0088697,-0.25384,3.7585e-09,1.0151e-09,2.9919e-07,30.019,-1747,2.5785e-10,8.7186,-26.712,6.29e-05,6.3171,0.00015996,-0.0036483,0.0034884,-1.9055e-11,0.10933,-8.007e-14,1741.5,0,0,0,3.3687e-05,0,0.00039464,0.0075315
-1.6329e-12,-6.0585e-05,0.0096995,-0.15391,4.1312e-09,9.842e-10,2.9899e-07,23.762,-1736,-1.065e-09,8.6542,-18.473,6.29e-05,6.3088,0.00023472,-0.0027739,0.0025392,-1.9066e-11,0.10865,5.0827e-15,1728.3,0,0,0,3.6178e-05,0,0.00039417,0.0075339
-1.9008e-12,-8.3581e-05,0.011098,-0.21266,4.818e-09,9.851e-10,3.0078e-07,27.605,-1707.7,-1.2854e-09,9.1773,-23.101,6.29e-05,6.3128,0.0002067,-0.0032928,0.0030861,-1.9222e-11,0.10683,1.8892e-14,1699.7,0,0,0,3.9263e-05,0,0.00039328,0.0075369
-2.0159e-12,-8.7973e-05,0.011628,-0.22393,5.1149e-09,9.7926e-10,3.0146e-07,27.848,-1699.2,-1.5785e-09,8.7008,-24.23,6.29e-05,6.3143,0.00017049,-0.003361,0.0031905,-1.9283e-11,0.10633,3.769e-14,1691.8,0,0,0,4.0613e-05,0,0.00039291,0.0075382
-2.3682e-12,-0.00012702,0.013384,-0.32454,6.0275e-09,9.754e-10,3.0347e-07,31.394,-1665.5,-2.0602e-09,8.9646,-29.482,6.29e-05,6.3193,0.00010741,-0.0038828,0.0037754,-1.9468e-11,0.1042,6.8237e-14,1658.3,0,0,0,4.4626e-05,0,0.00039175,0.007542
-2.7302e-12,-0.00013919,0.01498,-0.35625,6.9712e-09,9.4972e-10,3.0534e-07,30.81,-1640.1,-3.1739e-09,7.0412,-31.929,6.29e-05,6.3236,-1.7077e-05,-0.0039377,0.0039548,-1.9644e-11,0.10272,1.399e-13,1634.9,0,0,0,4.8851e-05,0,0.00039059,0.0075461
-2.866e-12,-0.00015644,0.015626,-0.40116,7.3271e-09,9.4614e-10,3.0605e-07,31.577,-1628.5,-3.4353e-09,6.9878,-33.558,6.29e-05,6.3255,-4.9462e-05,-0.0040723,0.0041217,-1.9712e-11,0.10199,1.5657e-13,1623.6,0,0,0,5.0387e-05,0,0.00039014,0.0075476
-3.1294e-12,-0.00016152,0.016739,-0.41497,8.0223e-09,9.2167e-10,3.0733e-07,30.195,-1611.2,-4.3886e-09,5.2394,-34.508,6.29e-05,6.3284,-0.00014605,-0.0039968,0.0041429,-1.9836e-11,0.10102,2.1807e-13,1608,0,0,0,5.3457e-05,0,0.00038931,0.0075505
-3.4162e-12,-0.00017903,0.018186,-0.46092,8.776e-09,9.2726e-10,3.091e-07,30.784,-1606.2,-5.0282e-09,5.9676,-34.2,6.29e-05,6.3251,-0.00010459,-0.0040352,0.0041398,-1.9994e-11,0.10065,2.5795e-13,1602.3,0,0,0,5.5861e-05,0,0.00038841,0.0075527
-3.54e-12,-0.00017864,0.01877,-0.4601,9.103e-09,9.2537e-10,3.0986e-07,30.422,-1602.9,-5.3965e-09,6.0226,-33.282,6.2901e-05,6.3237,-8.1364e-05,-0.0039663,0.0040477,-2.0063e-11,0.10045,2.8125e-13,1598.9,0,0,0,5.6907e-05,0,0.00038804,0.0075537
