"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.18337,-1.0692e-10,5.1688e-09,1.2253e-07,106.71,-2429.3,1.5284e-09,36.397,32.594,0.00096888,74.075,0.1331,-0.21282,0.079719,-1.1316e-10,2.1707,-5.9989e-12,2373.3,1.1352e-10,0.21282,-2.1707,0,0,0.00039962,0.0074982
-6.434e-14,-7.6569e-05,0.0013836,-0.19262,1.5999e-10,4.0512e-09,1.1683e-07,41.903,-2141.4,2.18e-09,57.82,34.298,0.0009551,74.302,0.044709,-0.034261,-0.010448,-1.1033e-10,1.9182,-5.6691e-12,2090.2,1.5787e-11,0.0043565,-0.20972,2.8451e-06,0,0.00039932,0.007501
-6.9827e-14,-7.5627e-05,0.0014422,-0.18947,1.6641e-10,3.9557e-09,1.1654e-07,42.509,-2121.2,2.1934e-09,56.253,30.72,0.00095242,74.337,0.043429,-0.038321,-0.0051082,-1.0996e-10,1.9008,-5.5996e-12,2073.2,0,0,0,3.3017e-06,0,0.00039927,0.0075015
-1.2012e-13,-7.4858e-05,0.0022993,-0.18786,4.2968e-10,2.6904e-09,1.1137e-07,-3.3392,-1802.8,2.7621e-09,74.477,16.296,0.00093738,74.636,0.0075621,0.0074459,-0.015008,-1.0421e-10,1.5877,-4.9785e-12,1739.6,0,0,0,6.8963e-06,0,0.00039888,0.0075051
-1.3707e-13,-7.3291e-05,0.0024115,-0.18392,4.4284e-10,2.3686e-09,1.1092e-07,9.3171,-1747.1,2.7024e-09,62.192,-0.75647,0.0009281,74.781,0.0048804,-0.017727,0.012846,-1.0297e-10,1.5408,-4.6382e-12,1696.9,0,0,0,8.8818e-06,0,0.00039867,0.007507
-1.6839e-13,-7.0308e-05,0.0027913,-0.17671,4.8277e-10,1.7068e-09,1.0937e-07,22.341,-1600.3,2.5599e-09,53.138,-26.27,0.00091885,75.015,-0.0024371,-0.047036,0.049474,-1.0071e-10,1.4085,-3.8954e-12,1559,0,0,0,1.1822e-05,0,0.00039836,0.00751
-2.0772e-13,-8.0284e-05,0.002915,-0.20183,5.0359e-10,9.8629e-10,1.0802e-07,51.586,-1493.1,1.9783e-09,12.625,-55.983,0.00090169,75.363,-0.0024986,-0.097016,0.099514,-9.7818e-11,1.3311,-2.6864e-12,1492.6,0,0,0,1.7083e-05,0,0.00039781,0.0075152
-2.1164e-13,-8.1871e-05,0.0029446,-0.20589,5.0409e-10,9.125e-10,1.0784e-07,54.692,-1478.7,1.9325e-09,9.7749,-59.362,0.00090121,75.395,-0.0026502,-0.10261,0.10526,-9.7602e-11,1.3203,-2.5781e-12,1480.8,0,0,0,1.7521e-05,0,0.00039776,0.0075156
-2.1661e-13,-8.4063e-05,0.002945,-0.21145,5.0904e-10,8.225e-10,1.0751e-07,57.065,-1466.1,1.8239e-09,3.606,-61.745,0.00090043,75.44,-0.0026412,-0.10668,0.10932,-9.7238e-11,1.3137,-2.3982e-12,1474.4,0,0,0,1.826e-05,0,0.00039768,0.0075164
-3.0901e-13,-0.00012078,0.0042401,-0.30455,7.4252e-10,8.7378e-10,1.088e-07,53.06,-1496.6,1.6224e-09,4.5362,-55.911,0.00088991,75.272,-0.0013306,-0.096299,0.09763,-9.7485e-11,1.3278,-2.2212e-12,1503.1,0,0,0,2.2461e-05,0,0.00039684,0.0075205
-3.4211e-13,-0.00011147,0.0047077,-0.2811,8.2927e-10,8.6933e-10,1.0882e-07,49.595,-1494.1,1.4281e-09,4.84,-51.612,0.0008898,75.213,-0.00086306,-0.089623,0.090486,-9.7562e-11,1.3252,-2.0442e-12,1499.2,0,0,0,2.4036e-05,0,0.00039654,0.007522
-4.2458e-13,-0.00013603,0.0058758,-0.34424,1.0422e-09,8.9385e-10,1.0892e-07,42.234,-1501.4,1.1172e-09,6.2799,-42.96,0.0008898,75.063,-2.2254e-05,-0.075795,0.075817,-9.7842e-11,1.3303,-1.7895e-12,1502.9,0,0,0,2.7779e-05,0,0.00039579,0.0075257
-5.1948e-13,-9.2805e-05,0.0071979,-0.23499,1.2948e-09,8.6238e-10,1.088e-07,31.884,-1487.3,4.6462e-10,6.9471,-29.876,0.0008898,74.894,0.0014697,-0.055689,0.054219,-9.7962e-11,1.3172,-1.1808e-12,1484.3,0,0,0,3.2372e-05,0,0.00039491,0.0075302
-5.4819e-13,-9.7156e-05,0.0076048,-0.24667,1.3702e-09,8.6386e-10,1.0874e-07,29.004,-1486.1,3.2075e-10,7.5328,-26.354,0.0008898,74.842,0.0018648,-0.05019,0.048325,-9.7976e-11,1.3156,-1.0541e-12,1481.6,0,0,0,3.3687e-05,0,0.00039464,0.0075315
-5.9877e-13,-6.3698e-05,0.0082931,-0.16179,1.5073e-09,8.3671e-10,1.0868e-07,23.23,-1476.1,-8.7704e-11,7.6063,-19.011,0.0008898,74.752,0.0026949,-0.038933,0.036238,-9.8048e-11,1.3066,-6.6646e-13,1469.4,0,0,0,3.6178e-05,0,0.00039417,0.0075339
-6.9559e-13,-8.5608e-05,0.0094825,-0.2178,1.7544e-09,8.3761e-10,1.092e-07,26.598,-1452.1,-1.64e-10,8.1124,-22.983,0.0008898,74.796,0.0024026,-0.045318,0.042916,-9.8725e-11,1.2848,-5.9938e-13,1445.1,0,0,0,3.9263e-05,0,0.00039328,0.0075369
-7.3697e-13,-9.016e-05,0.0099316,-0.22948,1.8611e-09,8.3255e-10,1.094e-07,26.858,-1444.6,-2.5662e-10,7.6972,-23.924,0.0008898,74.812,0.0020128,-0.046192,0.044179,-9.9004e-11,1.2786,-5.1247e-13,1438.2,0,0,0,4.0613e-05,0,0.00039291,0.0075382
-8.6413e-13,-0.00012684,0.011426,-0.32405,2.1893e-09,8.2977e-10,1.1004e-07,30.091,-1416.6,-4.1723e-10,7.9943,-28.488,0.0008898,74.867,0.0013351,-0.052791,0.051456,-9.9865e-11,1.2534,-3.6707e-13,1410.2,0,0,0,4.4626e-05,0,0.00039175,0.007542
-9.9411e-13,-0.00014004,0.01278,-0.35842,2.5286e-09,8.0787e-10,1.1067e-07,29.784,-1394.8,-7.6662e-10,6.2856,-30.508,0.0008898,74.914,-3.9458e-06,-0.053646,0.05365,-1.0073e-10,1.2355,-3.6699e-14,1390.3,0,0,0,4.8851e-05,0,0.00039059,0.0075461
-1.0431e-12,-0.00015628,0.01333,-0.40074,2.6566e-09,8.0498e-10,1.109e-07,30.553,-1385.1,-8.5194e-10,6.2574,-31.938,0.0008898,74.934,-0.00034634,-0.055431,0.055777,-1.0105e-10,1.2269,4.179e-14,1380.8,0,0,0,5.0387e-05,0,0.00039014,0.0075476
-1.1377e-12,-0.00016292,0.014273,-0.41859,2.907e-09,7.8399e-10,1.1135e-07,29.519,-1370,-1.1494e-09,4.6841,-32.685,0.0008898,74.966,-0.0013817,-0.054659,0.05604,-1.0166e-10,1.2149,3.2518e-13,1367.3,0,0,0,5.3457e-05,0,0.00038931,0.0075505
-1.2403e-12,-0.00018086,0.015491,-0.46563,3.1765e-09,7.8875e-10,1.1195e-07,30.196,-1365.7,-1.344e-09,5.3538,-32.664,0.0008898,74.93,-0.00091144,-0.055478,0.056389,-1.0244e-10,1.2105,4.9404e-13,1362.4,0,0,0,5.5861e-05,0,0.00038841,0.0075527
-1.2843e-12,-0.00018156,0.01598,-0.46762,3.293e-09,7.8713e-10,1.1222e-07,29.906,-1363,-1.4556e-09,5.4281,-31.958,0.0008898,74.915,-0.00066281,-0.054716,0.055378,-1.0278e-10,1.2079,5.9483e-13,1359.5,0,0,0,5.6907e-05,0,0.00038804,0.0075537
-1.4563e-12,-0.00021456,0.017978,-0.55534,3.7502e-09,7.9169e-10,1.1322e-07,30.461,-1353.9,-1.8103e-09,6.6431,-31.103,0.0008898,74.857,0.00027801,-0.054918,0.05464,-1.0408e-10,1.1988,9.064e-13,1349.3,0,0,0,6.0886e-05,0,0.00038656,0.0075574
-1.6038e-12,-0.00021412,0.019574,-0.55528,4.1458e-09,7.8306e-10,1.141e-07,29.027,-1344,-2.2087e-09,6.7728,-28.236,0.0008898,74.808,0.0011277,-0.051516,0.050389,-1.0521e-10,1.1899,1.2686e-12,1338.9,0,0,0,6.436e-05,0,0.00038534,0.0075607
-1.683e-12,-0.00023004,0.020471,-0.59833,4.359e-09,7.8316e-10,1.1455e-07,29.012,-1339.2,-2.3852e-09,7.3384,-27.497,0.0008898,74.782,0.0016086,-0.051086,0.049478,-1.058e-10,1.1851,1.4255e-12,1333.5,0,0,0,6.6173e-05,0,0.00038466,0.0075623
-1.8552e-12,-0.00022476,0.022277,-0.58645,4.8269e-09,7.7002e-10,1.1549e-07,26.886,-1326.5,-2.8701e-09,7.2728,-23.675,0.00089018,74.726,0.0025991,-0.04631,0.043711,-1.0711e-10,1.1743,1.8697e-12,1320.3,0,0,0,7.0197e-05,0,0.00038325,0.0075661
-1.9223e-12,-0.00023545,0.022981,-0.61507,5.008e-09,7.7051e-10,1.1584e-07,27.314,-1322.3,-2.994e-09,7.5233,-24.352,0.00089036,74.728,0.0024855,-0.047246,0.04476,-1.076e-10,1.1706,1.9801e-12,1315.8,0,0,0,7.1429e-05,0,0.0003827,0.0075672
-1.9493e-12,-0.00023672,0.023244,-0.61857,5.0813e-09,7.6961e-10,1.1594e-07,27.331,-1320.4,-3.0469e-09,7.5079,-24.497,0.00089073,74.728,0.0024145,-0.047366,0.044952,-1.078e-10,1.1694,2.0291e-12,1313.9,0,0,0,7.1932e-05,0,0.00038248,0.0075677
-2.1762e-12,-0.00027731,0.025564,-0.72877,5.7015e-09,7.6862e-10,1.1685e-07,28.747,-1304,-3.4461e-09,8.3387,-26.817,0.00089317,74.731,0.0020079,-0.050615,0.048607,-1.0946e-10,1.1572,2.393e-12,1297,0,0,0,7.6053e-05,0,0.00038063,0.0075713
-2.3107e-12,-0.0002837,0.026841,-0.74691,6.0713e-09,7.6169e-10,1.1715e-07,28.817,-1292.6,-3.6964e-09,8.1638,-27.537,0.00089669,74.731,0.0016514,-0.0513,0.049648,-1.105e-10,1.1516,2.6347e-12,1285.8,0,0,0,7.8546e-05,0,0.00037956,0.0075736
-2.439e-12,-0.00030925,0.028119,-0.81728,6.4267e-09,7.5837e-10,1.1745e-07,29.609,-1281.5,-3.9072e-09,8.6007,-28.873,0.00089957,74.733,0.001417,-0.053262,0.051845,-1.1145e-10,1.1449,2.8354e-12,1274.4,0,0,0,8.0861e-05,0,0.00037852,0.0075757
-2.6927e-12,-0.00032108,0.030462,-0.85218,7.1343e-09,7.4036e-10,1.1771e-07,29.591,-1257.2,-4.3676e-09,8.0607,-30.086,0.0009086,74.732,0.00074829,-0.054518,0.05377,-1.1345e-10,1.1348,3.2988e-12,1250.7,0,0,0,8.5562e-05,0,0.00037652,0.0075799
-2.7096e-12,-0.00032479,0.030626,-0.86259,7.1819e-09,7.3959e-10,1.1772e-07,29.685,-1255.5,-4.3944e-09,8.1123,-30.253,0.00090922,74.732,0.00071949,-0.054785,0.054066,-1.1358e-10,1.134,3.3258e-12,1248.9,0,0,0,8.5868e-05,0,0.00037638,0.0075802
-2.7493e-12,-0.00032646,0.030982,-0.8678,7.2941e-09,7.3638e-10,1.1774e-07,29.625,-1251.5,-4.4681e-09,7.9918,-30.382,0.00091079,74.732,0.00061704,-0.054903,0.054286,-1.1389e-10,1.1324,3.402e-12,1245,0,0,0,8.6604e-05,0,0.00037607,0.0075809
-2.9888e-12,-0.00036929,0.033315,-0.98693,7.97e-09,7.3035e-10,1.1783e-07,31.23,-1230.6,-4.809e-09,8.6978,-31.293,0.00091947,74.708,0.0011864,-0.058021,0.056835,-1.1568e-10,1.1234,3.7531e-12,1223.7,0,0,0,9.0269e-05,0,0.00037415,0.007584
-3.0795e-12,-0.00037523,0.034139,-1.004,8.2273e-09,7.2594e-10,1.1789e-07,31.317,-1223.1,-4.9624e-09,8.6882,-31.145,0.00092264,74.698,0.0013562,-0.05821,0.056853,-1.1638e-10,1.1203,3.9128e-12,1216.2,0,0,0,9.1683e-05,0,0.00037345,0.0075852
-3.2749e-12,-0.00041452,0.035997,-1.1149,8.7872e-09,7.1932e-10,1.1789e-07,32.319,-1205.4,-5.2615e-09,9.2981,-31.54,0.00093029,74.679,0.0018721,-0.060313,0.058441,-1.1786e-10,1.1125,4.2285e-12,1198,0,0,0,9.4676e-05,0,0.00037189,0.0075878
-3.4793e-12,-0.00042813,0.037806,-1.1553,9.3765e-09,7.0821e-10,1.18e-07,32.188,-1188.2,-5.6295e-09,9.2298,-30.9,0.00093776,74.658,0.0022523,-0.060215,0.057963,-1.1946e-10,1.1054,4.6193e-12,1180.7,0,0,0,9.7864e-05,0,0.0003703,0.0075905
-3.5681e-12,-0.00044751,0.038629,-1.2109,9.6348e-09,7.0425e-10,1.1797e-07,32.447,-1179.8,-5.7797e-09,9.5124,-30.879,0.0009415,74.649,0.0025025,-0.060873,0.058371,-1.2014e-10,1.1017,4.7813e-12,1172.1,0,0,0,9.9226e-05,0,0.00036959,0.0075917
-3.8022e-12,-0.00046215,0.040646,-1.2563,1.032e-08,6.9015e-10,1.1805e-07,31.905,-1159.9,-6.2285e-09,9.3527,-29.787,0.00095042,74.624,0.0029281,-0.060117,0.057189,-1.2202e-10,1.0934,5.2675e-12,1152.3,0,0,0,0.00010288,0,0.00036777,0.0075949
-3.8684e-12,-0.00047484,0.041237,-1.2924,1.0514e-08,6.8822e-10,1.1805e-07,32.17,-1154.6,-6.336e-09,9.524,-30.099,0.00095287,74.622,0.0029523,-0.060818,0.057865,-1.2251e-10,1.091,5.3843e-12,1146.8,0,0,0,0.00010377,0,0.00036725,0.0075956
-3.8914e-12,-0.00047699,0.04143,-1.2986,1.0582e-08,6.8731e-10,1.1806e-07,32.18,-1152.9,-6.3758e-09,9.5272,-30.127,0.00095364,74.621,0.0029501,-0.06089,0.057939,-1.2269e-10,1.0903,5.4277e-12,1145.1,0,0,0,0.00010408,0,0.00036707,0.0075958
-4.1742e-12,-0.00053546,0.043897,-1.4677,1.1421e-08,6.7805e-10,1.1798e-07,32.917,-1129.8,-6.8651e-09,10.278,-31.034,0.00096469,74.611,0.0030996,-0.063268,0.060168,-1.2483e-10,1.0798,5.9716e-12,1121.4,0,0,0,0.00010787,0,0.00036483,0.0075989
-4.3062e-12,-0.00054789,0.044977,-1.5047,1.1815e-08,6.7222e-10,1.1802e-07,32.831,-1120.1,-7.1033e-09,10.27,-31.043,0.0009693,74.605,0.0030963,-0.063433,0.060337,-1.2586e-10,1.0756,6.2374e-12,1111.7,0,0,0,0.00010966,0,0.00036382,0.0076004
-4.487e-12,-0.00058726,0.046516,-1.6207,1.2361e-08,6.6518e-10,1.1793e-07,33.02,-1105.1,-7.4375e-09,10.74,-31.324,0.00097676,74.598,0.0032213,-0.064497,0.061276,-1.2726e-10,1.0688,6.6182e-12,1096.4,0,0,0,0.00011208,0,0.00036239,0.0076023
-4.7351e-12,-0.00060991,0.048494,-1.6906,1.3115e-08,6.5388e-10,1.1798e-07,32.581,-1087,-7.906e-09,10.656,-31.049,0.00098573,74.585,0.0032297,-0.064312,0.061082,-1.2924e-10,1.0608,7.1523e-12,1078.3,0,0,0,0.00011544,0,0.00036049,0.0076051
-4.8074e-12,-0.00062611,0.049095,-1.7393,1.3337e-08,6.5077e-10,1.1794e-07,32.537,-1081,-8.0492e-09,10.831,-31.035,0.00098886,74.582,0.003291,-0.064535,0.061244,-1.2981e-10,1.0581,7.3194e-12,1072.1,0,0,0,0.00011642,0,0.00035991,0.0076059
-5.0154e-12,-0.0006437,0.050709,-1.7959,1.3979e-08,6.4112e-10,1.1797e-07,31.936,-1065.9,-8.46e-09,10.687,-30.56,0.00099661,74.571,0.0033069,-0.063943,0.060636,-1.315e-10,1.0514,7.7981e-12,1057.1,0,0,0,0.00011923,0,0.00035831,0.0076082
-5.1345e-12,-0.00066582,0.051683,-1.8621,1.4346e-08,6.3753e-10,1.1791e-07,32.009,-1057.1,-8.6786e-09,10.97,-30.502,0.0010013,74.565,0.0034964,-0.064344,0.060848,-1.3243e-10,1.0473,8.0549e-12,1048.1,0,0,0,0.00012066,0,0.00035738,0.0076093
-5.1736e-12,-0.00066935,0.051983,-1.873,1.4467e-08,6.3612e-10,1.1792e-07,31.965,-1054.5,-8.749e-09,10.987,-30.431,0.0010026,74.563,0.0035333,-0.064312,0.060778,-1.3274e-10,1.0462,8.1377e-12,1045.5,0,0,0,0.00012113,0,0.00035709,0.0076097
-5.466e-12,-0.00072536,0.05432,-2.0443,1.5386e-08,6.2592e-10,1.1774e-07,31.817,-1032.9,-9.3151e-09,11.662,-29.959,0.0010146,74.546,0.0040282,-0.064737,0.060709,-1.3506e-10,1.036,8.8207e-12,1023.2,0,0,0,0.00012464,0,0.00035479,0.0076123
-5.6164e-12,-0.00073847,0.055446,-2.0864,1.586e-08,6.2054e-10,1.1775e-07,31.534,-1023.1,-9.5964e-09,11.696,-29.574,0.00102,74.537,0.0041726,-0.064401,0.060229,-1.3629e-10,1.0315,9.1594e-12,1013.3,0,0,0,0.00012645,0,0.00035365,0.0076137
-5.8053e-12,-0.00077505,0.056919,-2.201,1.6464e-08,6.1321e-10,1.1761e-07,31.22,-1009.1,-9.9819e-09,12.103,-29.053,0.0010281,74.526,0.0045099,-0.064286,0.059776,-1.3783e-10,1.0249,9.6372e-12,998.95,0,0,0,0.00012872,0,0.00035216,0.0076154
-6.0737e-12,-0.00079692,0.05888,-2.2742,1.7326e-08,6.0276e-10,1.1761e-07,30.511,-991.81,-1.0503e-08,12.101,-28.172,0.001038,74.51,0.0047691,-0.063296,0.058527,-1.4007e-10,1.0169,1.0281e-11,981.52,0,0,0,0.00013194,0,0.00035013,0.0076179
-6.1531e-12,-0.00081217,0.059485,-2.3233,1.7585e-08,5.9965e-10,1.1754e-07,30.288,-986,-1.0674e-08,12.253,-27.863,0.0010416,74.506,0.0049176,-0.063075,0.058158,-1.4073e-10,1.014,1.0498e-11,975.54,0,0,0,0.0001329,0,0.00034949,0.0076186
-6.3998e-12,-0.00083014,0.061241,-2.3871,1.8392e-08,5.8928e-10,1.1753e-07,29.456,-970.31,-1.117e-08,12.18,-26.883,0.001051,74.491,0.0051539,-0.0618,0.056646,-1.4285e-10,1.0067,1.1127e-11,959.82,0,0,0,0.00013586,0,0.00034762,0.0076209
-6.508e-12,-0.00084851,0.062045,-2.4455,1.8747e-08,5.8579e-10,1.1745e-07,29.326,-963.13,-1.138e-08,12.371,-26.718,0.0010554,74.486,0.0052807,-0.061805,0.056524,-1.4373e-10,1.0033,1.1397e-11,952.44,0,0,0,0.00013704,0,0.00034678,0.0076218
-6.5417e-12,-0.00085138,0.062281,-2.455,1.8858e-08,5.8465e-10,1.1744e-07,29.264,-961.14,-1.1441e-08,12.379,-26.653,0.0010566,74.485,0.0053011,-0.061735,0.056434,-1.4401e-10,1.0023,1.1475e-11,950.44,0,0,0,0.00013741,0,0.00034653,0.007622
-6.8659e-12,-0.00090622,0.064634,-2.6341,1.9941e-08,5.7472e-10,1.1718e-07,28.604,-939.79,-1.2101e-08,12.905,-25.881,0.0010703,74.471,0.0057128,-0.061222,0.055509,-1.4674e-10,0.99181,1.2344e-11,928.54,0,0,0,0.00014096,0,0.00034398,0.0076245
-7.0133e-12,-0.00091799,0.06564,-2.675,2.0434e-08,5.6962e-10,1.1716e-07,28.256,-931.22,-1.2377e-08,12.917,-25.515,0.0010757,74.465,0.0058063,-0.060749,0.054943,-1.4801e-10,0.9877,1.2706e-11,919.93,0,0,0,0.00014256,0,0.00034288,0.0076257
-7.2326e-12,-0.00095429,0.067194,-2.7973,2.1182e-08,5.6234e-10,1.1697e-07,27.631,-916.97,-1.2842e-08,13.229,-24.811,0.0010854,74.455,0.0061045,-0.060034,0.053929,-1.4991e-10,0.9806,1.3337e-11,905.32,0,0,0,0.00014497,0,0.00034114,0.0076273
-7.5004e-12,-0.00097366,0.068977,-2.8686,2.2097e-08,5.5342e-10,1.1691e-07,26.861,-901.67,-1.336e-08,13.195,-24.005,0.0010955,74.442,0.0062798,-0.058869,0.052589,-1.5228e-10,0.97317,1.4035e-11,889.98,0,0,0,0.00014788,0,0.00033913,0.0076294
-7.6089e-12,-0.0009909,0.069727,-2.9288,2.2474e-08,5.4949e-10,1.1682e-07,26.468,-894.74,-1.3601e-08,13.323,-23.572,0.0011004,74.438,0.0064361,-0.058331,0.051895,-1.5325e-10,0.96967,1.4371e-11,882.89,0,0,0,0.00014907,0,0.00033827,0.0076303
-7.9676e-12,-0.0010133,0.072055,-3.0179,2.3726e-08,5.3769e-10,1.1673e-07,25.263,-874.66,-1.4316e-08,13.191,-22.322,0.0011144,74.421,0.0066741,-0.056367,0.049693,-1.5652e-10,0.95981,1.5361e-11,862.82,0,0,0,0.00015296,0,0.00033556,0.007633
-7.9951e-12,-0.0010172,0.072242,-3.0311,2.3822e-08,5.3693e-10,1.1671e-07,25.201,-873.03,-1.4371e-08,13.226,-22.245,0.0011155,74.42,0.0067119,-0.056289,0.049577,-1.5676e-10,0.95898,1.5439e-11,861.14,0,0,0,0.00015324,0,0.00033534,0.0076332
