# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	wall	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
1.000000000000e+02	wall	(-1.199012667245e-12 -1.532265274438e+01 -3.325876642029e+00)	(2.607682246337e-10 1.298839097308e-01 3.588703839743e+01)
2.000000000000e+02	wall	(-1.973429339025e-12 -6.426061297124e+00 -6.212025110942e-01)	(5.480191330826e-10 7.288484387378e-02 5.823443560907e+00)
3.000000000000e+02	wall	(-1.653315429045e-12 -2.565846843940e+00 -4.458876608679e-01)	(4.684902471341e-09 5.704449445315e-02 1.119580236402e+00)
4.000000000000e+02	wall	(-1.366627098220e-12 -1.291496177105e+00 -1.580942589440e+00)	(9.977203514332e-09 5.422555340674e-02 7.171961556347e-01)
5.000000000000e+02	wall	(-8.280854408177e-13 -9.296242161788e-01 -2.263573247829e+00)	(3.722646923726e-10 7.962867021855e-02 4.476592419446e-01)
6.000000000000e+02	wall	(7.227372206657e-14 -6.947806586818e-01 -2.689471041904e+00)	(3.109385528739e-10 1.256297036192e-01 3.967269881582e-01)
7.000000000000e+02	wall	(1.144191665606e-12 -5.274686680964e-01 -2.948426839681e+00)	(2.390872584194e-10 2.375461747105e-01 3.506718115306e-01)
8.000000000000e+02	wall	(2.259913419717e-12 -4.252500522207e-01 -3.106979961143e+00)	(1.957315433247e-10 4.657708240093e-01 3.081322905787e-01)
9.000000000000e+02	wall	(2.438906063142e-12 -3.376119902958e-01 -3.203955117710e+00)	(1.693643617917e-10 6.087905255585e-01 2.683145364576e-01)
1.000000000000e+03	wall	(2.580188581309e-12 -2.616331681679e-01 -3.264013722895e+00)	(1.527754085197e-10 7.094882805519e-01 2.368892894980e-01)
1.100000000000e+03	wall	(2.695676952705e-12 -1.973524445627e-01 -3.299289959108e+00)	(1.449955086504e-10 7.864799029851e-01 2.364827786972e-01)
1.200000000000e+03	wall	(2.798211219748e-12 -1.447075881305e-01 -3.319263956261e+00)	(1.521937954060e-10 8.445272627695e-01 2.373104005701e-01)
1.300000000000e+03	wall	(2.886221925387e-12 -9.819632406654e-02 -3.331265972201e+00)	(1.577768089294e-10 8.898166668021e-01 2.384116973046e-01)
1.400000000000e+03	wall	(2.964067567259e-12 -6.200731398825e-02 -3.337219730612e+00)	(1.617751742477e-10 9.294746796250e-01 2.424098229624e-01)
1.500000000000e+03	wall	(3.024080063754e-12 -3.233437809885e-02 -3.340979662069e+00)	(1.643737933799e-10 9.588456598625e-01 2.453583469400e-01)
1.600000000000e+03	wall	(3.080588055680e-12 -1.925722774622e-02 -3.342870887617e+00)	(1.662859529998e-10 9.809611374863e-01 2.474472557626e-01)
1.700000000000e+03	wall	(3.133190296810e-12 -7.716173351203e-03 -3.344348023607e+00)	(1.676718921661e-10 9.965845488506e-01 2.489781461096e-01)
1.800000000000e+03	wall	(2.982019700678e-12 -9.107919852856e-04 -3.345845860662e+00)	(1.685295171581e-10 1.010098167413e+00 2.503764517506e-01)
1.900000000000e+03	wall	(1.940390369184e-12 -1.173326745698e-03 -3.347104852045e+00)	(1.690827155966e-10 1.022052021280e+00 2.516090315021e-01)
2.000000000000e+03	wall	(1.551318307648e-12 -2.000660029852e-03 -3.348070420608e+00)	(1.694728920646e-10 1.032549253153e+00 2.526694238185e-01)
2.100000000000e+03	wall	(1.332165909033e-12 -2.662368423310e-03 -3.348788514742e+00)	(1.696171053729e-10 1.041696372713e+00 2.535792528043e-01)
2.200000000000e+03	wall	(1.196962568615e-12 -3.196517550656e-03 -3.349315307852e+00)	(1.697334387798e-10 1.049630703980e+00 2.543534074617e-01)
2.228000000000e+03	wall	(1.175416654658e-12 -3.511309314671e-03 -3.349354845349e+00)	(1.697643493450e-10 1.051371945727e+00 2.545513805773e-01)
