# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.928014448177e-01	9.999999999999e-01	1.000000000000e+00	9.999999999856e-01
2                   	7.822698689367e-01	9.879995733231e-01	9.869003218029e-01	6.292388154246e-03
3                   	7.076369458420e-01	8.455123172465e-02	7.334490609174e-02	1.875723123980e-02
4                   	3.790571263636e-02	6.931210980867e-02	1.609335879227e-02	3.711989040564e-01
5                   	1.141136749806e-02	2.188579134583e-02	6.469807903688e-02	4.370525852415e-02
6                   	7.242378835824e-03	1.881269211354e-01	1.812692772339e-01	2.942798650216e-02
7                   	7.457188425132e-03	2.991328882114e-01	1.738581818367e-01	8.306741387473e-02
8                   	7.255642198729e-03	7.705412502675e-02	5.102487875797e-02	2.739288428136e-01
9                   	5.970391155035e-03	3.391571238246e-02	3.568886681759e-02	2.316295354593e-01
10                  	4.213963916249e-03	1.262343420511e-01	9.772564174384e-02	7.825852607290e-02
11                  	2.971037419777e-03	4.501631823411e-01	1.892303507519e-01	2.971046537989e-02
12                  	2.338469960133e-03	1.033621860920e-01	8.032245127183e-02	5.769293722312e-02
13                  	1.812291539725e-03	4.020998005242e-02	4.178408409184e-02	2.333769702167e-01
14                  	1.701882984442e-03	4.682640300257e-02	4.193912317356e-02	6.944604171662e-02
15                  	1.779578166537e-03	1.092207177723e-01	5.335784422093e-02	6.039826534627e-02
16                  	1.902626430913e-03	1.879642681127e-01	4.012161305933e-02	7.810969606604e-02
17                  	1.921315319569e-03	8.815978042971e-02	2.704447571665e-02	1.643211977347e-01
18                  	1.824635707369e-03	6.442458089667e-02	2.293992991943e-02	1.845718392186e-01
19                  	1.608000010495e-03	9.902263495596e-02	2.603906610578e-02	1.018771005275e-01
20                  	1.399090796180e-03	6.852703929730e-02	2.785289016631e-02	8.747133714235e-02
21                  	1.271260540152e-03	4.359366036770e-02	2.898418524463e-02	8.081034557510e-02
22                  	1.142332487245e-03	3.326549055870e-02	2.560100040313e-02	9.874169163188e-02
23                  	1.081868334941e-03	2.490374339915e-02	2.228078880395e-02	1.308771040707e-01
24                  	1.050773970579e-03	2.501506610270e-02	1.953105536377e-02	1.725556017705e-01
25                  	1.028230767896e-03	2.451451678630e-02	1.757746415736e-02	1.827170347421e-01
26                  	1.000809756265e-03	2.039860253791e-02	1.522906324811e-02	1.969100564751e-01
27                  	9.762102036454e-04	1.569379367736e-02	1.326608110293e-02	1.852918354622e-01
28                  	9.520705485661e-04	1.386514964794e-02	1.202430072156e-02	1.542848196368e-01
29                  	9.241803001849e-04	1.339138398889e-02	1.196280760008e-02	1.227689100480e-01
30                  	8.930970389398e-04	1.357416114688e-02	1.329074358535e-02	9.174861351446e-02
31                  	8.588117545632e-04	1.396996601925e-02	1.414014460246e-02	7.494126791057e-02
32                  	8.268071291753e-04	1.277161438045e-02	1.443214636942e-02	6.494021609357e-02
33                  	8.012369305780e-04	1.206719605635e-02	1.387898912718e-02	6.152627907438e-02
34                  	7.841382589945e-04	1.206452326243e-02	1.258166275472e-02	7.181994521694e-02
35                  	7.683347914394e-04	1.060732145380e-02	1.143437062481e-02	7.850382363817e-02
36                  	7.554622432068e-04	9.914297993703e-03	1.023269892638e-02	8.640084295556e-02
37                  	7.427048650692e-04	8.761080973851e-03	9.187684045211e-03	8.809018940198e-02
38                  	7.284826057522e-04	7.528639029943e-03	8.554387084386e-03	8.506602024372e-02
39                  	7.147934295442e-04	6.972336425096e-03	8.714996239463e-03	7.666725522004e-02
40                  	7.006037942394e-04	6.947531189900e-03	9.192078161117e-03	6.493841889262e-02
41                  	6.858844713637e-04	7.209692406933e-03	9.340282279468e-03	5.571436964610e-02
42                  	6.721271686646e-04	6.871375093756e-03	9.235322973116e-03	4.810097237637e-02
43                  	6.596911320192e-04	6.471583717221e-03	8.957177359439e-03	4.339735796526e-02
44                  	6.482206826665e-04	6.016456908250e-03	8.562084970775e-03	4.286620346411e-02
45                  	6.384916669352e-04	5.278856053824e-03	8.127574744677e-03	4.333184701014e-02
46                  	6.285347554446e-04	4.611488759684e-03	7.725297814205e-03	4.432050110406e-02
47                  	6.180798242112e-04	3.925603691307e-03	7.407944882874e-03	4.441297567373e-02
48                  	6.076734758797e-04	3.529858931925e-03	7.337093384149e-03	4.272817241917e-02
49                  	5.974287648453e-04	3.362816576188e-03	7.426262775569e-03	4.100212689053e-02
50                  	5.890865473750e-04	3.698726378419e-03	7.527965256399e-03	3.689694930450e-02
51                  	5.807043321944e-04	3.805605760810e-03	7.535751482845e-03	3.285688566647e-02
52                  	5.721432138623e-04	3.782509400423e-03	7.433820100535e-03	2.946350802905e-02
53                  	5.633497671113e-04	3.630452130774e-03	7.252374518244e-03	2.703770607650e-02
54                  	5.531225649570e-04	3.354072132011e-03	7.014914616707e-03	2.667039798476e-02
55                  	5.450649638163e-04	3.042581851110e-03	6.778823398572e-03	2.678500594359e-02
56                  	5.376741972562e-04	2.746028276336e-03	6.574727844808e-03	2.656900030629e-02
57                  	5.296111144867e-04	2.519241361913e-03	6.462127853012e-03	2.555229143800e-02
58                  	5.213620446224e-04	2.480766935579e-03	6.503414670042e-03	2.385660123908e-02
59                  	5.131832181168e-04	2.508887762395e-03	6.605076934019e-03	2.143582187242e-02
60                  	5.051452996861e-04	2.464748336988e-03	6.651822405109e-03	1.927867067761e-02
61                  	4.972785094379e-04	2.406660676811e-03	6.633907258748e-03	1.711863594758e-02
62                  	4.899943718047e-04	2.274425633740e-03	6.562080662663e-03	1.567701050344e-02
63                  	4.833234693201e-04	2.110842677234e-03	6.456211673513e-03	1.533708595469e-02
64                  	4.761745955370e-04	1.955979142629e-03	6.347652579158e-03	1.512368712761e-02
65                  	4.658928020705e-04	1.820154967948e-03	6.253791807635e-03	1.486234161852e-02
66                  	4.561401904321e-04	1.729365900016e-03	6.183063846730e-03	1.466147488932e-02
67                  	4.468580792453e-04	1.709083106570e-03	6.171468889651e-03	1.390546717658e-02
68                  	4.375024127549e-04	1.715627998414e-03	6.200419688057e-03	1.280712939208e-02
69                  	4.310580730868e-04	1.741007043297e-03	6.237780437886e-03	1.160177915666e-02
70                  	4.253316798816e-04	1.756886591866e-03	6.252253554527e-03	1.033319048090e-02
71                  	4.199034490065e-04	1.743293967624e-03	6.250145685063e-03	9.272533860205e-03
72                  	4.137208087447e-04	1.690985634799e-03	6.228465471551e-03	8.729308233450e-03
73                  	4.077591084922e-04	1.615723587922e-03	6.200641580878e-03	8.654061214550e-03
74                  	4.034437721307e-04	1.569560567134e-03	6.182024477703e-03	8.442322415019e-03
75                  	3.990743529239e-04	1.510879602068e-03	6.178317918291e-03	8.374938923498e-03
76                  	3.949642142693e-04	1.498857709765e-03	6.195274682753e-03	7.971374487144e-03
77                  	3.914577292768e-04	1.477229361628e-03	6.221861481328e-03	7.459416144842e-03
78                  	3.874777443553e-04	1.471769324448e-03	6.248362019776e-03	6.838447356846e-03
