"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,-3.9371,-1.7371e-10,2.8917e-10,3.9231e-08,590.89,-1907.2,1.6118e-08,507,-594.62,0.00056557,46.126,0.011587,-0.74166,0.73007,-2.2311e-11,0.82372,-9.4818e-12,2467.6,2.6036e-11,0.47609,-1.2662,0,0,0.00039962,0.0074794
-6.9766e-14,-0.0014421,0.003118,-3.7025,1.1257e-10,-3.7471e-10,3.859e-08,323.32,-1891,8.7626e-09,260.97,-305.75,0.00056557,45.616,0.0078952,-0.35745,0.34956,-2.1846e-11,0.93499,-4.7487e-12,2036.2,1.0386e-11,0.038099,-0.53073,9.0332e-06,0,0.00039852,0.0074884
-8.0124e-14,-0.00024635,0.0040442,-0.65036,2.8349e-10,-1.0214e-09,3.8275e-08,108.14,-1912.8,1.8215e-09,58.998,-77.726,0.00056557,45.1,0.01155,-0.11028,0.098734,-2.1796e-11,1.0519,-4.5382e-13,1872.8,2.7732e-12,0.010173,-0.14172,1.9563e-05,0,0.00039746,0.0074989
-8.7512e-14,-0.00026907,0.0044172,-0.67637,2.9196e-10,-1.0485e-09,3.783e-08,105.87,-1886.2,1.8632e-09,59.339,-79.007,0.00056557,45.12,0.010334,-0.10927,0.098937,-2.1549e-11,1.0326,-4.615e-13,1838.7,7.7154e-13,-7.0783e-05,-0.038483,2.0451e-05,0,0.00039726,0.0074997
-9.0438e-14,-0.0002616,0.0045629,-0.659,2.9419e-10,-1.0684e-09,3.7544e-08,103.63,-1872.2,1.843e-09,57.712,-77.884,0.00056557,45.129,0.010203,-0.10776,0.097555,-2.14e-11,1.0262,-4.3807e-13,1827,0,0,0,2.1075e-05,0,0.00039713,0.0075003
-1.3697e-13,-0.00045373,0.0067785,-1.1483,4.1442e-10,-1.2266e-09,3.444e-08,100.57,-1684.3,2.4367e-09,65.544,-94.995,0.00056557,45.28,0.0029685,-0.11209,0.10912,-1.9712e-11,0.91551,-6.8439e-13,1637,0,0,0,2.7382e-05,0,0.00039574,0.0075065
-1.5838e-13,-0.00029505,0.0078855,-0.74728,4.6408e-10,-1.3994e-09,3.1938e-08,76.775,-1578.5,2.0762e-09,40.537,-77.374,0.00056557,45.35,0.00033741,-0.087351,0.087013,-1.8326e-11,0.86983,-3.8277e-13,1549.5,0,0,0,3.3432e-05,0,0.00039458,0.0075124
-1.6932e-13,-0.00034111,0.0083928,-0.86678,4.8832e-10,-1.4457e-09,3.1105e-08,73.648,-1535.3,2.1196e-09,38.366,-76.155,0.00056557,45.383,-0.00029182,-0.084578,0.08487,-1.7868e-11,0.84662,-3.8115e-13,1509.7,0,0,0,3.5179e-05,0,0.0003942,0.0075141
-1.7632e-13,-0.0002038,0.0087909,-0.51854,5.0493e-10,-1.5298e-09,2.9979e-08,58.225,-1491.8,1.8076e-09,22.51,-63.637,0.00056557,45.406,-0.0016496,-0.068097,0.069747,-1.7241e-11,0.83096,-1.5708e-13,1476.3,0,0,0,3.8087e-05,0,0.00039367,0.007517
-2.0749e-13,-0.00027921,0.010475,-0.71198,5.8915e-10,-1.4797e-09,2.9352e-08,64.174,-1479.2,2.0332e-09,26.258,-67.465,0.00056557,45.376,-0.00070375,-0.074099,0.074803,-1.6934e-11,0.82171,-3.1304e-13,1461.5,0,0,0,4.1704e-05,0,0.00039252,0.0075204
-2.1854e-13,-0.00027089,0.011189,-0.69098,6.1663e-10,-1.4747e-09,2.894e-08,61.915,-1465.7,2.0302e-09,24.163,-64.262,0.00056557,45.363,-0.00036388,-0.07118,0.071544,-1.6716e-11,0.81527,-3.1415e-13,1449.2,0,0,0,4.3715e-05,0,0.00039196,0.0075224
-2.4894e-13,-0.00036711,0.012861,-0.94087,6.9633e-10,-1.4341e-09,2.822e-08,64.855,-1442.6,2.207e-09,27.068,-64.844,0.00056557,45.335,0.00071402,-0.073711,0.072997,-1.6354e-11,0.80057,-4.3713e-13,1424.7,0,0,0,4.7457e-05,0,0.0003908,0.0075259
-2.7513e-13,-0.00030718,0.014633,-0.78871,7.606e-10,-1.4382e-09,2.7048e-08,54.693,-1403.9,2.105e-09,18.351,-52.881,0.00056557,45.299,0.0012782,-0.06148,0.060202,-1.5728e-11,0.7836,-3.7711e-13,1390.9,0,0,0,5.2949e-05,0,0.00038931,0.0075312
-2.8118e-13,-0.00032862,0.01497,-0.84531,7.7604e-10,-1.4328e-09,2.688e-08,54.511,-1397.5,2.1296e-09,18.598,-52.274,0.00056557,45.294,0.0014809,-0.061134,0.059654,-1.5641e-11,0.77989,-3.9407e-13,1384.5,0,0,0,5.3751e-05,0,0.00038906,0.007532
-2.8788e-13,-0.00029447,0.015453,-0.75814,7.9254e-10,-1.4389e-09,2.652e-08,50.462,-1386,2.0705e-09,14.982,-47.813,0.00056557,45.283,0.0015707,-0.056366,0.054796,-1.5447e-11,0.77542,-3.5718e-13,1374.9,0,0,0,5.5409e-05,0,0.00038862,0.0075336
-3.2094e-13,-0.0003641,0.017306,-0.94078,8.8294e-10,-1.3954e-09,2.6111e-08,54.221,-1369.4,2.2637e-09,17.64,-52.171,0.00056557,45.281,0.0014826,-0.060913,0.059431,-1.5267e-11,0.76454,-4.9112e-13,1356.6,0,0,0,5.8932e-05,0,0.00038721,0.0075368
-3.3139e-13,-0.00036347,0.018006,-0.93971,9.1029e-10,-1.3882e-09,2.5878e-08,53.274,-1361.6,2.283e-09,16.945,-51.454,0.00056557,45.278,0.0013948,-0.059928,0.058533,-1.515e-11,0.76051,-5.0608e-13,1349.3,0,0,0,6.0605e-05,0,0.00038662,0.0075384
-3.6103e-13,-0.0004406,0.019672,-1.1447,9.9123e-10,-1.3548e-09,2.5465e-08,55.625,-1344.7,2.4421e-09,19.363,-54.203,0.00056557,45.275,0.0013992,-0.062815,0.061416,-1.4963e-11,0.74958,-6.1496e-13,1330.9,0,0,0,6.3889e-05,0,0.00038532,0.0075414
-3.8504e-13,-0.00042503,0.021327,-1.1066,1.0543e-09,-1.3435e-09,2.4859e-08,51.717,-1324.8,2.4514e-09,16.604,-50.86,0.00056557,45.266,0.0011578,-0.058594,0.057436,-1.4656e-11,0.7399,-6.2661e-13,1312.9,0,0,0,6.8064e-05,0,0.00038386,0.0075453
-3.9506e-13,-0.00045498,0.021892,-1.1874,1.0816e-09,-1.3347e-09,2.4701e-08,52.007,-1318.3,2.4982e-09,17.321,-51.254,0.00056557,45.265,0.0011793,-0.058991,0.057811,-1.4582e-11,0.73581,-6.5808e-13,1306,0,0,0,6.9227e-05,0,0.00038341,0.0075464
-4.0963e-13,-0.00043048,0.022934,-1.1258,1.1201e-09,-1.3316e-09,2.4283e-08,48.388,-1305.1,2.4765e-09,14.659,-48.015,0.00056557,45.258,0.00098941,-0.055018,0.054028,-1.4367e-11,0.72986,-6.4748e-13,1294.5,0,0,0,7.2012e-05,0,0.00038246,0.007549
-4.3125e-13,-0.00047212,0.024229,-1.2377,1.1801e-09,-1.3113e-09,2.4105e-08,49.639,-1297.3,2.5815e-09,15.929,-49.002,0.00056557,45.251,0.0011735,-0.056376,0.055202,-1.43e-11,0.7247,-7.1838e-13,1285.6,0,0,0,7.4145e-05,0,0.00038144,0.0075508
-4.3752e-13,-0.00047253,0.024681,-1.2394,1.1972e-09,-1.3069e-09,2.401e-08,49.238,-1294,2.5963e-09,15.77,-48.552,0.00056557,45.247,0.0011933,-0.055903,0.05471,-1.4257e-11,0.72292,-7.2926e-13,1282.4,0,0,0,7.5043e-05,0,0.00038105,0.0075517
-4.7214e-13,-0.00054984,0.02675,-1.4503,1.2942e-09,-1.277e-09,2.3693e-08,50.672,-1279.8,2.7565e-09,17.942,-49.5,0.00056557,45.236,0.0015356,-0.057422,0.055887,-1.4132e-11,0.71369,-8.3679e-13,1266.6,0,0,0,7.8535e-05,0,0.0003794,0.0075547
-4.909e-13,-0.00054514,0.028123,-1.4405,1.346e-09,-1.2647e-09,2.3366e-08,49.022,-1268.4,2.7914e-09,17.06,-47.704,0.00056604,45.226,0.0015841,-0.055528,0.053944,-1.3987e-11,0.70827,-8.6394e-13,1255.5,0,0,0,8.1366e-05,0,0.0003782,0.0075573
-5.0863e-13,-0.00058948,0.029182,-1.5635,1.3962e-09,-1.2505e-09,2.3171e-08,49.402,-1259.7,2.8687e-09,18.144,-47.803,0.00056621,45.221,0.0017832,-0.055913,0.05413,-1.3909e-11,0.70294,-9.1597e-13,1246,0,0,0,8.3214e-05,0,0.00037733,0.0075589
-5.3904e-13,-0.00056699,0.031461,-1.5101,1.4819e-09,-1.2314e-09,2.252e-08,45.936,-1236.7,2.9084e-09,15.799,-44.174,0.00056862,45.204,0.0018114,-0.052105,0.050294,-1.3645e-11,0.69415,-9.5308e-13,1224.4,0,0,0,8.8121e-05,0,0.00037529,0.0075634
-5.3979e-13,-0.00056836,0.031508,-1.5139,1.4841e-09,-1.2307e-09,2.2514e-08,45.981,-1236.3,2.912e-09,15.831,-44.216,0.00056866,45.203,0.0018154,-0.05216,0.050345,-1.3644e-11,0.694,-9.5552e-13,1224,0,0,0,8.8191e-05,0,0.00037525,0.0075634
-5.3999e-13,-0.00056844,0.031523,-1.5141,1.4846e-09,-1.2305e-09,2.2511e-08,45.979,-1236.2,2.9126e-09,15.828,-44.215,0.00056869,45.203,0.0018155,-0.052161,0.050345,-1.3643e-11,0.69396,-9.5602e-13,1223.9,0,0,0,8.8218e-05,0,0.00037524,0.0075635
-5.8206e-13,-0.00065835,0.03413,-1.7654,1.6077e-09,-1.1917e-09,2.2047e-08,48.262,-1212.1,3.1119e-09,17.728,-46.381,0.0005737,45.195,0.0020681,-0.055279,0.053211,-1.3566e-11,0.68513,-1.101e-12,1198.5,0,0,0,9.2236e-05,0,0.00037304,0.0075668
-5.9365e-13,-0.00066237,0.035012,-1.7784,1.6415e-09,-1.1816e-09,2.1845e-08,48.008,-1203.4,3.1444e-09,17.422,-46.14,0.00057573,45.191,0.0020783,-0.055153,0.053074,-1.3514e-11,0.68267,-1.1286e-12,1190,0,0,0,9.3848e-05,0,0.00037224,0.0075682
-6.2057e-13,-0.00072806,0.036678,-1.965,1.7214e-09,-1.1566e-09,2.1475e-08,48.981,-1185,3.2649e-09,18.636,-47.031,0.00058031,45.185,0.0022745,-0.056839,0.054565,-1.3459e-11,0.67677,-1.2236e-12,1170.8,0,0,0,9.6513e-05,0,0.0003708,0.0075705
-6.436e-13,-0.00073194,0.038464,-1.9817,1.79e-09,-1.1375e-09,2.1034e-08,47.942,-1166.5,3.317e-09,17.697,-45.99,0.00058472,45.176,0.0023032,-0.056011,0.053708,-1.334e-11,0.67161,-1.2734e-12,1152.9,0,0,0,9.9908e-05,0,0.00036913,0.0075734
-6.5454e-13,-0.00076145,0.039141,-2.0672,1.8229e-09,-1.1279e-09,2.0863e-08,48.028,-1158.3,3.3596e-09,18.145,-46.002,0.00058683,45.173,0.002412,-0.056401,0.053989,-1.3312e-11,0.66898,-1.3105e-12,1144.4,0,0,0,0.00010103,0,0.00036853,0.0075744
-6.7458e-13,-0.00075861,0.04073,-2.067,1.8839e-09,-1.1125e-09,2.0452e-08,46.559,-1141.5,3.3919e-09,16.967,-44.521,0.00059093,45.164,0.0024328,-0.055041,0.052608,-1.3197e-11,0.66439,-1.3478e-12,1128.4,0,0,0,0.00010417,0,0.000367,0.0075771
-6.8853e-13,-0.00078872,0.041631,-2.1535,1.9261e-09,-1.1e-09,2.0306e-08,47.04,-1133,3.4501e-09,17.486,-44.905,0.00059318,45.161,0.0025479,-0.055808,0.05326,-1.3186e-11,0.66165,-1.3943e-12,1119.5,0,0,0,0.00010549,0,0.00036619,0.0075782
-6.9212e-13,-0.00079124,0.041914,-2.1612,1.937e-09,-1.097e-09,2.0256e-08,46.979,-1130.6,3.4595e-09,17.452,-44.837,0.00059382,45.159,0.0025586,-0.055778,0.053219,-1.3176e-11,0.66091,-1.4028e-12,1117.1,0,0,0,0.00010597,0,0.00036592,0.0075786
-7.2882e-13,-0.00087877,0.044275,-2.4172,2.05e-09,-1.0663e-09,1.983e-08,47.508,-1107.1,3.5984e-09,18.833,-45.103,0.00060033,45.151,0.002901,-0.057084,0.054183,-1.3137e-11,0.65323,-1.5217e-12,1092.5,0,0,0,0.00010955,0,0.00036373,0.0075814
-7.4323e-13,-0.00088758,0.045425,-2.4463,2.0948e-09,-1.0549e-09,1.9616e-08,47.015,-1096.8,3.6307e-09,18.59,-44.589,0.00060309,45.146,0.0029425,-0.056696,0.053754,-1.3091e-11,0.65016,-1.5534e-12,1082.3,0,0,0,0.00011156,0,0.00036261,0.0075831
-7.6569e-13,-0.00094503,0.046866,-2.6182,2.1653e-09,-1.0375e-09,1.9331e-08,46.839,-1081.8,3.7053e-09,19.38,-44.24,0.00060744,45.14,0.0031809,-0.056988,0.053807,-1.3061e-11,0.64523,-1.6233e-12,1066.6,0,0,0,0.00011382,0,0.00036123,0.0075849
-7.9116e-13,-0.00095638,0.048925,-2.6613,2.2465e-09,-1.0186e-09,1.8929e-08,45.516,-1063,3.7522e-09,18.709,-42.889,0.00061262,45.129,0.0032486,-0.055786,0.052537,-1.2972e-11,0.63967,-1.6752e-12,1048.2,0,0,0,0.00011752,0,0.00035917,0.0075879
