"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
-2.5092e-09,-7.7757e-05,0.14965,-7.6618,0.00024865,-4.2551e-10,-4.977e-05,-5.2114,-4.4432,-5.8785e-07,0.25773,8.0554,0.0072259,0,0.048725,0.013281,-0.062007,-1.4377e-06,0.03207,2.968e-12,13.844,0,0,0,0,0,2.3365e-07,0.020479
-2.509e-09,-7.781e-05,0.14965,-7.6653,0.00024864,-4.2706e-10,-4.9766e-05,-5.2106,-4.4436,-5.922e-07,0.25874,8.1005,0.0072115,0.001893,0.049157,0.01371,-0.062867,-1.4354e-06,0.031951,8.3099e-11,13.933,0,0,0,1.993e-07,0,2.3283e-07,0.020479
-2.498e-09,-8.207e-05,0.14951,-8.1057,0.00024772,-5.545e-10,-4.9275e-05,-5.2279,-4.412,-8.3509e-07,0.30536,11.851,0.005687,0.16507,0.084686,0.05246,-0.13715,-1.1291e-06,0.023386,4.5995e-09,22.23,0,0,0,1.7276e-05,0,1.6236e-07,0.020462
-2.5273e-09,-9.2552e-05,0.14926,-8.6406,0.00024154,-6.5242e-10,-4.8113e-05,-5.4157,-4.8632,-1.0861e-06,0.33638,15.045,0.0051297,0.1995,0.091804,0.05881,-0.15061,-9.9153e-07,0.023262,5.5595e-09,26.178,0,0,0,3.317e-05,0,1.5315e-06,0.020446
-2.5287e-09,-9.3549e-05,0.14924,-8.6729,0.00024107,-6.6175e-10,-4.8029e-05,-5.4257,-4.9085,-1.1146e-06,0.34928,15.321,0.0050898,0.20296,0.092458,0.059342,-0.1518,-9.8357e-07,0.023151,5.6654e-09,26.489,0,0,0,3.448e-05,8.646e-24,1.6446e-06,0.020445
-2.593e-09,-0.00010651,0.14903,-9.0401,0.00023199,-6.9362e-10,-4.6801e-05,-5.824,-5.6502,-1.219e-06,0.45679,15.385,0.0050269,0.24719,0.092641,0.060214,-0.15285,-9.3287e-07,0.026001,6.1082e-09,27.124,0,0,0,4.8329e-05,2.1307e-23,4.0529e-06,0.020431
-2.6065e-09,-0.00011082,0.14897,-9.127,0.00022985,-6.9895e-10,-4.6504e-05,-5.9393,-5.8606,-1.2439e-06,0.52537,15.401,0.0050117,0.25817,0.09262,0.060528,-0.15315,-9.2162e-07,0.026586,6.2049e-09,27.286,0,0,0,5.1817e-05,0,4.6597e-06,0.020428
-2.6848e-09,-0.00012772,0.1488,-9.6499,0.00021975,-7.4112e-10,-4.5278e-05,-6.462,-6.5204,-1.3838e-06,0.71079,16.337,0.0048472,0.29927,0.094117,0.063225,-0.15734,-8.4681e-07,0.028102,6.6927e-09,29.071,0,0,0,6.2901e-05,0,7.5139e-06,0.020417
-2.7252e-09,-0.00014122,0.14869,-9.9335,0.00021412,-7.6466e-10,-4.4578e-05,-6.8206,-6.9787,-1.486e-06,0.89034,16.858,0.0047607,0.32341,0.094833,0.065009,-0.15984,-8.1094e-07,0.028771,7.0296e-09,30.071,0,0,0,6.9452e-05,0,9.2012e-06,0.020411
-2.7954e-09,-0.00015721,0.14855,-10.382,0.00020546,-7.8233e-10,-4.3601e-05,-7.2847,-7.5412,-1.5892e-06,1.011,17.788,0.0046248,0.34963,0.096114,0.067543,-0.16366,-7.4916e-07,0.030162,7.34e-09,31.758,0,0,0,7.7069e-05,0,1.1758e-05,0.020404
-2.8814e-09,-0.00018653,0.14836,-10.935,0.00019418,-8.1931e-10,-4.2284e-05,-8.014,-8.4341,-1.7451e-06,1.2482,19.066,0.004452,0.38607,0.097661,0.071408,-0.16907,-6.8032e-07,0.031742,7.723e-09,34.041,0,0,0,8.7518e-05,7.9118e-23,1.5267e-05,0.020394
-2.9196e-09,-0.00019563,0.14829,-11.142,0.00018961,-8.3536e-10,-4.1797e-05,-8.258,-8.7469,-1.7958e-06,1.3036,19.498,0.0043976,0.39737,0.098091,0.072664,-0.17075,-6.5209e-07,0.032596,7.8741e-09,34.847,0,0,0,9.0952e-05,8.637e-23,1.6667e-05,0.020391
-3.0145e-09,-0.00022832,0.1481,-11.648,0.00017763,-8.7535e-10,-4.047e-05,-9.0221,-9.7196,-1.9351e-06,1.4946,20.696,0.0042565,0.42879,0.099057,0.07647,-0.17553,-5.8777e-07,0.034742,8.1912e-09,37.057,0,0,0,0.00010039,1.0588e-22,2.0513e-05,0.020382
-3.0809e-09,-0.00025091,0.14801,-11.85,0.00016982,-8.9325e-10,-3.8767e-05,-9.3776,-10.581,-2.033e-06,1.6326,21.243,0.0041829,0.44189,0.099114,0.078214,-0.17733,-5.5131e-07,0.037195,8.4676e-09,38.201,0,0,0,0.00010449,1.1571e-22,2.2341e-05,0.020378
-3.1066e-09,-0.00026342,0.14797,-11.921,0.00016662,-9.0111e-10,-3.8078e-05,-9.5481,-10.993,-2.0783e-06,1.7053,21.481,0.0041556,0.44761,0.099104,0.079045,-0.17815,-5.3865e-07,0.038188,8.5781e-09,38.685,0,0,0,0.00010625,9.1899e-23,2.3126e-05,0.020377
-3.315e-09,-0.00033981,0.14767,-12.425,0.0001423,-9.662e-10,-3.2862e-05,-10.642,-13.786,-2.3802e-06,2.1322,23.034,0.0039748,0.48228,0.098546,0.084287,-0.18283,-4.3622e-07,0.046112,9.4421e-09,41.992,0,0,0,0.00011758,6.0691e-23,2.8949e-05,0.020367
-3.4558e-09,-0.00041122,0.14745,-12.721,0.00012498,-1.011e-09,-2.9176e-05,-11.542,-16.072,-2.6023e-06,2.4857,24.188,0.0038571,0.50845,0.097934,0.088514,-0.18645,-3.7313e-07,0.051828,9.976e-09,44.421,0,0,0,0.00012601,3.7872e-23,3.3282e-05,0.02036
-3.5491e-09,-0.00044834,0.14732,-12.893,0.00011413,-1.0433e-09,-2.6878e-05,-12.026,-17.373,-2.7347e-06,2.6762,24.824,0.0037925,0.52196,0.097405,0.0908,-0.1882,-3.3142e-07,0.055463,1.0355e-08,45.799,0,0,0,0.00013064,0,3.5938e-05,0.020356
-3.6942e-09,-0.00052563,0.14709,-13.106,9.6422e-05,-1.0913e-09,-2.3147e-05,-12.928,-19.777,-2.9467e-06,3.013,25.896,0.0036955,0.54529,0.096311,0.094942,-0.19125,-2.715e-07,0.06155,1.0867e-08,48.114,0,0,0,0.00013851,-1.2809e-22,4.0452e-05,0.02035
-3.7234e-09,-0.00057543,0.14692,-13.392,9.1379e-05,-1.1253e-09,-2.0651e-05,-13.333,-21.592,-3.0362e-06,3.2374,26.621,0.0036195,0.5582,0.096601,0.096102,-0.1927,-2.567e-07,0.066022,1.0967e-08,49.93,0,0,0,0.0001435,-1.773e-22,4.3542e-05,0.020346
-3.7404e-09,-0.00061639,0.14679,-13.582,8.7995e-05,-1.1458e-09,-1.9022e-05,-13.614,-22.941,-3.101e-06,3.3967,27.121,0.0035741,0.56733,0.096811,0.096914,-0.19373,-2.4768e-07,0.069133,1.1042e-08,51.182,0,0,0,0.00014699,-1.5353e-22,4.5705e-05,0.020343
-3.7973e-09,-0.0007198,0.14645,-14.066,7.8245e-05,-1.1931e-09,-1.4253e-05,-14.346,-26.588,-3.2726e-06,3.8174,28.413,0.0034515,0.58937,0.097017,0.098865,-0.19588,-2.2156e-07,0.078112,1.1275e-08,54.534,0,0,0,0.00015615,-8.5396e-23,5.184e-05,0.020336
-3.8579e-09,-0.00087158,0.14601,-14.645,6.6334e-05,-1.254e-09,-8.5624e-06,-15.26,-31.475,-3.4851e-06,4.3383,30.019,0.0033169,0.61772,0.097287,0.10129,-0.19857,-1.9225e-07,0.089502,1.1544e-08,58.727,0,0,0,0.00016777,3.8803e-22,5.9633e-05,0.020328
-3.8602e-09,-0.00088555,0.14596,-14.708,6.5678e-05,-1.2601e-09,-8.357e-06,-15.351,-31.985,-3.4979e-06,4.3891,30.169,0.0033021,0.62015,0.097296,0.10146,-0.19875,-1.8992e-07,0.090602,1.1533e-08,59.198,0,0,0,0.0001688,4.0626e-22,6.0374e-05,0.020327
-3.8617e-09,-0.00090045,0.14591,-14.767,6.5083e-05,-1.2658e-09,-8.1806e-06,-15.435,-32.485,-3.5112e-06,4.4351,30.308,0.0032901,0.62248,0.097305,0.10161,-0.19891,-1.8795e-07,0.091645,1.1531e-08,59.639,0,0,0,0.00016978,3.5676e-22,6.1076e-05,0.020326
-3.8884e-09,-0.0010697,0.14536,-15.423,5.7646e-05,-1.3261e-09,-5.9153e-06,-16.412,-38.484,-3.659e-06,4.9881,31.883,0.0031438,0.6475,0.097026,0.10315,-0.20018,-1.6325e-07,0.10462,1.1485e-08,64.856,0,0,0,0.00018122,-2.3429e-22,6.9739e-05,0.020319
