"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,-1.2468e-18,0.01024
-1.7217e-11,4.5387e-07,0.16229,0.025755,9.6534e-07,-5.7507e-12,-3.3197e-07,-0.029358,-4.7141,1.1992e-09,0.0002191,0.011684,0.012992,41.249,-0.00060135,0.000833,-0.00023166,-8.2401e-09,0.060793,-1.5483e-11,4.7143,0,0,0,1,3.9962e-07,0,3.9962e-07,0.01024
-1.7296e-11,4.4697e-07,0.16229,0.025522,9.6338e-07,-5.7382e-12,-3.3172e-07,-0.029416,-4.7835,1.2027e-09,0.00021824,0.011764,0.012955,41.249,-0.00059753,0.00083048,-0.00023295,-8.2056e-09,0.061071,-1.5462e-11,4.7836,0,0,0,1,7.9924e-07,0,7.9924e-07,0.01024
-1.7374e-11,4.4008e-07,0.16229,0.02529,9.6142e-07,-5.7257e-12,-3.3147e-07,-0.029474,-4.8528,1.2063e-09,0.00021738,0.011843,0.012919,41.249,-0.00059371,0.00082795,-0.00023424,-8.1711e-09,0.061348,-1.5441e-11,4.8529,0,0,0,1,1.1989e-06,0,1.1989e-06,0.01024
-1.7452e-11,4.3318e-07,0.16228,0.025057,9.5946e-07,-5.7132e-12,-3.3122e-07,-0.029532,-4.9221,1.2098e-09,0.00021652,0.011923,0.012882,41.249,-0.00058989,0.00082542,-0.00023553,-8.1366e-09,0.061626,-1.5419e-11,4.9223,0,0,0,1,1.5985e-06,0,1.5985e-06,0.01024
-1.753e-11,4.2628e-07,0.16228,0.024825,9.5751e-07,-5.7007e-12,-3.3096e-07,-0.02959,-4.9915,1.2133e-09,0.00021567,0.012002,0.012845,41.249,-0.00058608,0.00082289,-0.00023682,-8.1021e-09,0.061904,-1.5398e-11,4.9916,0,0,0,1,1.9981e-06,0,1.9981e-06,0.01024
-1.7609e-11,4.1939e-07,0.16228,0.024592,9.5555e-07,-5.6882e-12,-3.3071e-07,-0.029648,-5.0608,1.2168e-09,0.00021481,0.012082,0.012808,41.249,-0.00058226,0.00082036,-0.00023811,-8.0676e-09,0.062181,-1.5377e-11,5.0609,0,0,0,1,2.3977e-06,0,2.3977e-06,0.01024
-1.7687e-11,4.1249e-07,0.16228,0.02436,9.5359e-07,-5.6757e-12,-3.3046e-07,-0.029706,-5.1301,1.2203e-09,0.00021395,0.012162,0.012771,41.249,-0.00057844,0.00081784,-0.0002394,-8.0331e-09,0.062459,-1.5356e-11,5.1303,0,0,0,1,2.7973e-06,0,2.7973e-06,0.01024
-1.7765e-11,4.0559e-07,0.16228,0.024127,9.5163e-07,-5.6632e-12,-3.3021e-07,-0.029764,-5.1995,1.2238e-09,0.00021309,0.012241,0.012734,41.249,-0.00057462,0.00081531,-0.00024069,-7.9985e-09,0.062736,-1.5335e-11,5.1996,0,0,0,1,3.197e-06,0,3.197e-06,0.01024
-1.7843e-11,3.987e-07,0.16228,0.023895,9.4967e-07,-5.6507e-12,-3.2995e-07,-0.029822,-5.2688,1.2273e-09,0.00021223,0.012321,0.012697,41.249,-0.0005708,0.00081278,-0.00024198,-7.964e-09,0.063014,-1.5314e-11,5.269,0,0,0,1,3.5966e-06,0,3.5966e-06,0.01024
-1.7922e-11,3.918e-07,0.16228,0.023662,9.4771e-07,-5.6382e-12,-3.297e-07,-0.02988,-5.3381,1.2308e-09,0.00021137,0.012401,0.01266,41.249,-0.00056699,0.00081025,-0.00024327,-7.9295e-09,0.063292,-1.5292e-11,5.3383,0,0,0,1,3.9962e-06,0,3.9962e-06,0.01024
-1.8e-11,3.849e-07,0.16228,0.02343,9.4575e-07,-5.6257e-12,-3.2945e-07,-0.029938,-5.4075,1.2343e-09,0.00021051,0.01248,0.012623,41.249,-0.00056317,0.00080772,-0.00024456,-7.895e-09,0.063569,-1.5271e-11,5.4076,0,0,0,1,4.3958e-06,0,4.3958e-06,0.01024
