# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	wall	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
1.000000000000e+02	wall	(2.554198342376e-11 -2.092640275412e-01 -5.903083559989e-01)	(1.396335406731e-08 2.639060297444e-01 1.863725076355e+00)
2.000000000000e+02	wall	(3.391432617148e-11 -6.209645541131e-02 -4.769559115751e-01)	(6.219772347471e-08 2.129581174210e-01 5.534338526488e-01)
3.000000000000e+02	wall	(4.164351935963e-11 -1.281233937077e-02 -7.348130746888e-01)	(4.307871046101e-07 1.735722379975e-01 1.070970553192e-01)
4.000000000000e+02	wall	(9.589914719014e-11 -6.388291043540e-05 -9.075238890676e-01)	(1.340800042549e-08 1.477110116826e-01 -3.016446613742e-02)
5.000000000000e+02	wall	(1.066756054987e-10 -2.330023180233e-05 -1.014816598438e+00)	(1.540225373767e-08 1.293060041529e-01 -2.644062304971e-02)
6.000000000000e+02	wall	(1.205977046050e-10 -4.520347747901e-06 -1.063523451243e+00)	(1.650557735053e-08 1.160819929787e-01 -2.373389233260e-02)
7.000000000000e+02	wall	(1.398297219193e-10 9.007963237298e-06 -1.085491266007e+00)	(1.703751474163e-08 1.109605090748e-01 -2.177842694619e-02)
8.000000000000e+02	wall	(1.626937848263e-10 7.038753026961e-06 -1.094900027500e+00)	(1.725472799586e-08 1.119805541684e-01 -2.038243908232e-02)
9.000000000000e+02	wall	(1.879672752074e-10 4.054769246008e-06 -1.099426242473e+00)	(1.733432524551e-08 1.124696041508e-01 -1.931641090903e-02)
9.060000000000e+02	wall	(1.895363578464e-10 3.931181851479e-06 -1.099604510581e+00)	(1.733680051564e-08 1.124888782442e-01 -1.926038047682e-02)
