# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	8.651175050283e-01	9.999999999992e-01	1.000000000000e+00	9.999999999856e-01
2                   	6.875568848621e-01	9.762108824702e-01	9.527676152659e-01	4.723496748852e-03
3                   	6.064413684228e-01	1.324818462451e-01	6.981829422134e-02	5.942609874156e-03
4                   	2.534504706182e-01	9.266630855377e-02	1.829020287410e-02	4.443387384716e-01
5                   	3.509830295344e-02	2.673629150071e-02	7.489326259831e-02	2.730103892487e-02
6                   	1.357412201630e-02	2.387182757423e-01	2.320812840864e-01	2.753972562393e-02
7                   	1.625180750032e-02	2.505415105262e-01	1.238939139681e-01	6.947470219961e-02
8                   	1.691067670490e-02	6.745678029165e-02	4.525685301559e-02	4.688369891007e-01
9                   	1.525704891584e-02	5.103393064732e-02	8.365835359153e-02	3.664324285436e-02
10                  	1.616003110466e-02	2.180537902315e-01	2.104932770599e-01	2.229699297039e-02
11                  	1.335792157703e-02	2.396376163597e-01	6.091367325147e-02	5.287750753343e-02
12                  	7.941609387429e-03	6.272303437486e-02	2.952578545339e-02	1.845082198422e-01
13                  	4.196945928395e-03	4.288345175730e-02	1.962590065679e-02	8.634767213387e-02
14                  	3.225254110649e-03	1.063707260015e-01	2.015719537668e-02	5.850357359918e-02
15                  	3.390712045716e-03	2.803848404450e-01	2.354163712680e-02	7.072306643544e-02
16                  	3.500979797542e-03	1.283460617491e-01	2.618430856139e-02	1.450008388056e-01
17                  	3.374545995409e-03	9.431702326783e-02	2.554474891504e-02	9.130013859987e-02
18                  	3.212820634136e-03	1.302709706568e-01	2.257645849602e-02	5.736226397304e-02
19                  	3.024985479554e-03	9.557583879849e-02	1.771748535066e-02	5.755208249040e-02
20                  	2.761710566084e-03	5.212323103395e-02	1.297388652865e-02	6.911059114246e-02
21                  	2.574528237701e-03	3.429042172520e-02	9.881212511409e-03	8.070188570807e-02
22                  	2.468317617014e-03	3.029408719314e-02	9.005018598844e-03	8.472093520109e-02
23                  	2.416663379108e-03	3.438543776173e-02	9.463994218685e-03	7.365472631156e-02
24                  	2.405196817178e-03	3.406754514671e-02	9.570262102707e-03	5.896435402142e-02
25                  	2.401446838925e-03	2.910597540202e-02	9.279691290271e-03	4.885845500398e-02
26                  	2.389961542665e-03	2.234417340977e-02	8.467264707939e-03	4.245387489866e-02
27                  	2.373601708253e-03	1.670671999620e-02	7.378742618088e-03	3.752126911327e-02
28                  	2.353984346632e-03	1.385633787900e-02	6.429364979999e-03	3.408355945474e-02
29                  	2.338440018692e-03	1.377519604539e-02	6.175362100813e-03	2.916677970329e-02
30                  	2.326382101966e-03	1.516113332362e-02	6.502091297610e-03	2.419323465311e-02
31                  	2.317733619731e-03	1.495384294716e-02	6.589291982582e-03	2.084197647940e-02
32                  	2.301970456230e-03	1.390373150457e-02	6.342813684466e-03	1.954637170097e-02
33                  	2.278962661307e-03	1.241461652596e-02	5.881211183540e-03	1.951083767525e-02
34                  	2.269102737226e-03	1.048168162855e-02	5.390288084066e-03	1.902810537970e-02
35                  	2.248698653491e-03	8.771003768799e-03	5.000706634533e-03	1.742201968660e-02
36                  	2.238263057483e-03	7.943761496802e-03	4.872912259441e-03	1.521957122068e-02
37                  	2.256239549641e-03	8.139397694052e-03	4.895206399941e-03	1.296950597969e-02
38                  	2.279921232511e-03	8.222369381538e-03	4.888846619724e-03	1.106895989052e-02
39                  	2.324404263862e-03	7.809825312828e-03	4.816274834340e-03	9.895187356443e-03
40                  	2.361902531140e-03	7.151714921141e-03	4.645276477685e-03	9.672244123811e-03
41                  	2.396193320397e-03	6.494272953567e-03	4.425890855507e-03	9.418930605680e-03
42                  	2.437871486742e-03	6.178579724633e-03	4.230619898043e-03	8.789774993879e-03
43                  	2.454792745089e-03	6.334445590876e-03	4.116087891622e-03	7.884875174804e-03
44                  	2.470845733104e-03	6.722219535676e-03	4.059638498756e-03	6.826057721973e-03
45                  	2.469461765727e-03	6.897358784796e-03	3.973000980269e-03	5.849309499439e-03
46                  	2.508744667792e-03	6.775164600276e-03	3.879500017391e-03	5.309712701651e-03
47                  	2.571936488010e-03	6.543181163981e-03	3.772164475741e-03	5.208406049221e-03
48                  	2.599365059288e-03	6.246575523631e-03	3.667960773201e-03	5.148199840002e-03
49                  	2.618413184736e-03	6.021910619070e-03	3.592597308194e-03	4.973456195198e-03
50                  	2.627374517793e-03	5.853002184174e-03	3.525943893547e-03	4.538502296990e-03
51                  	2.586965518786e-03	5.808290893880e-03	3.477230963051e-03	4.140531551595e-03
52                  	2.591727941354e-03	5.811785424325e-03	3.436303185453e-03	3.759918512273e-03
53                  	2.583749064698e-03	5.793969447098e-03	3.389876310345e-03	3.526139647359e-03
54                  	2.580098683098e-03	5.699082242229e-03	3.323893641480e-03	3.398425783417e-03
55                  	2.582677283846e-03	5.614963313912e-03	3.252614266722e-03	3.270736818844e-03
56                  	2.604052692080e-03	5.578957968689e-03	3.182450198845e-03	3.073926152313e-03
57                  	2.623525255568e-03	5.599792271263e-03	3.116553524102e-03	2.809976684344e-03
