# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	wall	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
1.000000000000e+02	wall	(-3.147379873333e-11 -5.871010911255e-01 -6.452648537507e-02)	(2.296243151738e-12 2.838071794929e-02 1.059413959744e+00)
2.000000000000e+02	wall	(-3.706970353919e-11 -5.052482202866e-02 -7.894276399314e-01)	(3.789983032653e-11 4.090436867271e-01 1.785364889185e-01)
3.000000000000e+02	wall	(-1.367052446153e-12 -2.720538953124e-02 -1.295787108668e+00)	(1.237930585374e-11 6.934983876280e-01 4.972148856373e-02)
4.000000000000e+02	wall	(-1.108949274020e-12 -1.153665200265e-02 -1.408696647840e+00)	(2.016195103744e-11 7.615721944835e-01 1.785219012352e-02)
5.000000000000e+02	wall	(-1.867274432969e-14 -1.184736568563e-02 -1.431669299440e+00)	(2.360563191073e-11 7.764879407776e-01 -4.363188995638e-03)
6.000000000000e+02	wall	(1.984119811131e-13 -1.193468548252e-02 -1.437080953305e+00)	(2.509655835733e-11 7.801560318495e-01 -6.333402701088e-03)
7.000000000000e+02	wall	(3.266836957164e-13 -1.196645875431e-02 -1.438693921094e+00)	(2.576492297619e-11 7.812797996037e-01 -7.514204839628e-03)
8.000000000000e+02	wall	(4.272590642208e-13 -1.197410910604e-02 -1.439098230064e+00)	(2.607902850622e-11 7.815699907094e-01 -8.177985600956e-03)
9.000000000000e+02	wall	(4.258882928829e-13 -1.197907268559e-02 -1.439282507950e+00)	(2.623182544692e-11 7.817139151901e-01 -8.652373997217e-03)
9.720000000000e+02	wall	(4.231804429985e-13 -1.198412879499e-02 -1.439336457649e+00)	(2.629163637788e-11 7.817581115989e-01 -8.956524087134e-03)
