# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1                   	9.999279694514e-01	9.999999999979e-01	1.000000000000e+00	9.999999999856e-01
2                   	7.290433304305e-01	7.975616085692e-01	7.063047572337e-01	8.795071306193e-03
3                   	1.322897712905e-01	4.420673633810e-01	7.757150508374e-02	2.265655034422e-02
4                   	7.365562566369e-03	1.317683183236e-01	2.465145390965e-02	1.626302703894e-01
5                   	2.107820864267e-03	2.900389652206e-02	1.529084258234e-02	1.288694612857e-01
6                   	9.783683324221e-04	5.749214863731e-02	4.612091598389e-02	5.057907102340e-02
7                   	6.397736712294e-04	3.202900619536e-01	1.321755094148e-01	8.293494367369e-02
8                   	6.217326028873e-04	1.279617483423e-01	2.103349787352e-01	2.186156301568e-01
9                   	5.858751225133e-04	5.327403234542e-02	7.403093373387e-02	1.860139158348e-01
10                  	5.318846693529e-04	3.278352795761e-02	1.968653880179e-02	1.093628578674e-01
11                  	4.856170594381e-04	7.139341702269e-02	1.479419782760e-02	1.041579831460e-01
12                  	4.701269188975e-04	2.147027263440e-01	1.658108688105e-02	1.401383923205e-01
13                  	5.027916019258e-04	3.609087963560e-01	1.525187053768e-02	2.127236591999e-01
14                  	5.079736192688e-04	2.192005159712e-01	1.061827961862e-02	2.592985357770e-01
15                  	5.092901132330e-04	7.555903226582e-02	5.348742937711e-03	1.939264269779e-01
16                  	5.001162355746e-04	4.196865374003e-02	4.420161500631e-03	1.550366571863e-01
17                  	4.608378946467e-04	4.670199185512e-02	5.771537407181e-03	1.352261046856e-01
18                  	4.361997427714e-04	4.060023326324e-02	5.326139071977e-03	1.532562458364e-01
19                  	4.248747529741e-04	2.811033962559e-02	3.705545481932e-03	1.800850000673e-01
20                  	4.239241978149e-04	1.630213753329e-02	2.159668374192e-03	1.330230513874e-01
21                  	4.285252305234e-04	1.246240224529e-02	1.645304580023e-03	1.009467032359e-01
22                  	4.324599002976e-04	1.560772071635e-02	1.937338424766e-03	8.216414097025e-02
23                  	4.374705941948e-04	1.479829517184e-02	1.973854456230e-03	7.946701889766e-02
24                  	4.400157913744e-04	1.107619850779e-02	1.592328149708e-03	8.625255915748e-02
25                  	4.394034060920e-04	7.548227886688e-03	1.164926097555e-03	9.025167294137e-02
26                  	4.369164414366e-04	5.881517176527e-03	9.644847202722e-04	8.529228414013e-02
27                  	4.329988383218e-04	6.281480902270e-03	9.703421223185e-04	7.411952878425e-02
28                  	4.305191144460e-04	6.253912443313e-03	9.780612787363e-04	6.502712784913e-02
29                  	4.285824677866e-04	5.331457594077e-03	9.208350400148e-04	5.726724752939e-02
30                  	4.283700124174e-04	4.327617372257e-03	8.364266231489e-04	5.058718796318e-02
31                  	4.287724077225e-04	3.623880363517e-03	7.771889194378e-04	4.421454026609e-02
32                  	4.289317600629e-04	3.459021214919e-03	7.454800535344e-04	3.927053650367e-02
33                  	4.293952808893e-04	3.323138287219e-03	7.303067382252e-04	3.563762017902e-02
34                  	4.297945184849e-04	3.224046148630e-03	7.120160694199e-04	3.305716582961e-02
35                  	4.296917038304e-04	3.057814341138e-03	6.899612059938e-04	3.129609094484e-02
36                  	4.296665336778e-04	2.924689504907e-03	6.703256943220e-04	2.980512452187e-02
37                  	4.298061279652e-04	2.849356596408e-03	6.567747040732e-04	2.757086078959e-02
38                  	4.297890081557e-04	2.824904620637e-03	6.448269056767e-04	2.508305373436e-02
39                  	4.302230698960e-04	2.760706508050e-03	6.325319022720e-04	2.284693684435e-02
40                  	4.309562089960e-04	2.666467510370e-03	6.190715201423e-04	2.103882737265e-02
41                  	4.315887553658e-04	2.580356078620e-03	6.049880880051e-04	1.939633735169e-02
42                  	4.323678062606e-04	2.506745558296e-03	5.907048284386e-04	1.782452515268e-02
43                  	4.329432755631e-04	2.443326319265e-03	5.771974786488e-04	1.640194466236e-02
44                  	4.330147446271e-04	2.386893410888e-03	5.650416322371e-04	1.498827798693e-02
45                  	4.333195428486e-04	2.342209584304e-03	5.535269296056e-04	1.379415402468e-02
46                  	4.334619133390e-04	2.300467593883e-03	5.425722422974e-04	1.281912639224e-02
47                  	4.330439091555e-04	2.257837150434e-03	5.319819906357e-04	1.195656384484e-02
48                  	4.327923486674e-04	2.217930549833e-03	5.220748597292e-04	1.108326891120e-02
49                  	4.325690747365e-04	2.180019798134e-03	5.124241983201e-04	1.025286471447e-02
50                  	4.324159213956e-04	2.143450614320e-03	5.030807420215e-04	9.490801651657e-03
51                  	4.318828558788e-04	2.106162872186e-03	4.936195099190e-04	8.812673358476e-03
52                  	4.318536478946e-04	2.070321188530e-03	4.846543537451e-04	8.220576170182e-03
53                  	4.322991937383e-04	2.034271895520e-03	4.758529961188e-04	7.687215057378e-03
54                  	4.315909489345e-04	1.998623912736e-03	4.670855149889e-04	7.184710000826e-03
55                  	4.312187246394e-04	1.963787801634e-03	4.586729012177e-04	6.697941155676e-03
56                  	4.317574846549e-04	1.931491739094e-03	4.506486219532e-04	6.247630167452e-03
57                  	4.306395133766e-04	1.899359582349e-03	4.428155865797e-04	5.859968559044e-03
